id,brand,name,image,release_date,resolution,weight,os,chipset,memory,ram,main_camera_1,main_camera_2,main_camera_3,selfie_camera,earphone_jack,battery,charging,colors,nfc,price
13,Oppo,Oppo A18,https://fdn2.gsmarena.com/vv/bigpic/oppo-a38.jpg,5/10/2023,720x1612,188,Android 13,Mediatek MT6769 Helio G85,128,4,8,2,,5,TRUE,5000,33,Glowing Black; Glowing Blue,FALSE,1499000
14,Oppo,Oppo A38,https://fdn2.gsmarena.com/vv/bigpic/oppo-a38.jpg,4/9/2023,720x1612,190,Android 13,Mediatek MT6769 Helio G85,128,6,50,2,,5,TRUE,5000,33,Glowing Black; Glowing Gold,TRUE,2099000
15,Oppo,Oppo Pad Neo,https://fdn2.gsmarena.com/vv/bigpic/oppo-pad-air2.jpg,16/01/2024,1720x2408,538,Android 13,Mediatek Helio G99,128,8,8,,,8,FALSE,8000,33,Gray,FALSE,9999000
16,Asus,Asus Zenfone 11 Ultra,https://dlcdnwebimgs.asus.com/gain/e6a8c7fc-6417-4885-ad9f-dd36e618c42e/w800,14/04/2024,1080x2400,224,Android 14,Qualcomm SM8650-AB Snapdragon 8 Gen 3,512,16,50,32,13,32,TRUE,5500,65,Eternal Black; Skyline Blue; Misty Gray; Desert Sand,TRUE,19999000
17,Asus,Asus Zenfone 10,https://dlcdnwebimgs.asus.com/gain/3288dc03-4254-4ffc-ba0b-cb0ddeac05c3/w800,10/6/2023,1080x2400,172,Android 13,Qualcomm SM8550-AB Snapdragon 8 Gen 2,512,16,50,13,,32,TRUE,4300,30,Starry Blue; Midnight Black; Aurora Green; Eclipse Red; Comet White,TRUE,7539000
18,Asus,Asus ROG Phone 8 Pro,https://dlcdnwebimgs.asus.com/gain/BF826D12-86F4-44D1-94D8-0FCA25242321/w185/fwebp,18/01/2024,1080x2400,225,Android 14,Qualcomm SM8650-AB Snapdragon 8 Gen 3,1024,24,50,32,13,32,TRUE,5500,65,Phantom Black,TRUE,19999000
19,Asus,Asus ROG Phone 8,https://dlcdnwebimgs.asus.com/gain/6CC77851-95F8-4910-808D-E0F94C840EB7/w185/fwebp,18/01/2024,1080x2400,225,Android 14,Qualcomm SM8650-AB Snapdragon 8 Gen 3,256,12,50,32,13,32,TRUE,5500,65,Phantom Black; Rebel Grey,TRUE,10999000
20,Infinix,Infinix Smart 8,https://southeast-asia.pro.infinixmobility.com/media/catalog/product/x/6/x6525_smart8_base1_1_5.png,9/11/2023,720x1612,184,Android 13,Unisoc T606,128,4,13,0.08,,8,TRUE,5000,10,Timber Black; Shiny Gold; Crystal Green; Galaxy White,FALSE,1399000
21,Infinix,Infinix Smart 8 Pro,https://southeast-asia.pro.infinixmobility.com/media/catalog/product/x/6/x6525_smart8_base1_1_5.png,1/2/2024,720x1612,189,Android 13,Mediatek Helio G36,128,8,50,0.08,,8,TRUE,5000,10,Rainbow Blue; Galaxy White; Shiny Gold; Timber Black,FALSE,2499000
22,Infinix,Infinix GT 20 Pro,https://fdn2.gsmarena.com/vv/bigpic/infinix-gt20-pro.jpg,26/04/2024,1080x2436,194,Android 14,Mediatek Dimensity 8200 Ultimate,256,12,108,2,2,32,FALSE,5000,45,Mecha Blue; Mecha Orange; Mecha Silver,TRUE,4399000
23,Infinix,Infinix Note 40 Pro,https://southeast-asia.pro.infinixmobility.com/media/catalog/product/x/6/x6851_note40pro5g_base1_3_2.png,19/03/2024,1080x2436,196,Android 14,Mediatek Dimensity 7020,256,8,108,2,2,32,FALSE,5000,45,Vintage Green; Titan Gold,TRUE,3699000
24,Infinix,Infinix Note 40,https://southeast-asia.pro.infinixmobility.com/media/catalog/product/x/6/x6853_note40_base1_1_1_2.png,19/03/2024,1080x2436,190,Android 14,Mediatek Helio G99 Ultimate,256,8,108,2,,32,FALSE,5000,45,Titan Gold; Obsidian Black,TRUE,2999000
25,Infinix,Infinix Hot 40i,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot-40i.jpg,1/12/2023,720x1612,190,Android 13,Unisoc T606,256,8,50,0.08,,32,TRUE,5000,18,Starlit Black; Palm Blue; Horizon Gold; Starfall Green,TRUE,1799000
26,Infinix,Infinix Hot 40 Pro,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot-40-pro.jpg,1/12/2023,1080x2460,199,Android 13,Mediatek Helio G99,256,8,108,2,0.08,32,TRUE,5000,33,Palm Blue; Horizon Gold; Starlit Black; Starfall Green; Free Fire,TRUE,2199000
27,Infinix,Infinix Zero 30 5G,https://southeast-asia.pro.infinixmobility.com/media/catalog/product/g/r/green_base_1_2_1_2.png,1/9/2023,1080x2400,185,Android 13,Mediatek Dimensity 8020,256,12,108,13,2,50,FALSE,5000,68,Rome Green; Golden Hour; Fantasy Purple,TRUE,4999000
28,Infinix,Infinix Zero 30 4G,https://southeast-asia.pro.infinixmobility.com/media/catalog/product/g/r/green_base_1_2_1_2.png,26/10/2023,1080x2400,182,Android 13,Mediatek Helio G99,256,8,108,2,2,50,FALSE,5000,45,Sunset Gold; Misty Green; Pearly White,TRUE,3799000
29,Samsung,Samsung Galaxy A15,https://images.samsung.com/is/image/samsung/p6pim/id/sm-a155fzbixid/gallery/id-galaxy-a15-sm-a155-sm-a155fzbixid-thumb-539258752?$252_252_PNG$,16/12/2023,1080x2340,200,Android 14,Mediatek Dimensity 6100+,256,8,50,5,2,13,TRUE,5000,25,Brave Black; Personality Yellow; Magical Blue; Optimistic Blue,TRUE,3399000
30,Samsung,Samsung Galaxy A25,https://images.samsung.com/is/image/samsung/p6pim/id/sm-a256ezygxid/gallery/id-galaxy-a25-5g-sm-a256-sm-a256ezygxid-thumb-539285755?$252_252_PNG$,16/12/2023,1080x2340,197,Android 14,Exynos 1280,256,8,50,8,2,13,TRUE,5000,25,Brave Black; Personality Yellow; Fantasy Blue; Optimistic Blue,TRUE,3999000
31,Samsung,Samsung Galaxy S24 Ultra,https://images.samsung.com/is/image/samsung/p6pim/id/2401/gallery/id-galaxy-s24-s928-sm-s928bzvqxid-539319876?$650_519_PNG$,24/01/2024,1440x3120,232,Android 14,Qualcomm SM8650-AC Snapdragon 8 Gen 3,1000,12,200,10,12,12,FALSE,5000,45,Titanium Black; Titanium Gray; Titanium Violet; Titanium Yellow; Titanium Blue; Titanium Green; Titanium Orange,TRUE,27999000
32,Samsung,Samsung Galaxy S24+,https://images.samsung.com/is/image/samsung/p6pim/id/2401/gallery/id-galaxy-s24-plus-sm-s926bzvcxid-539296840?$624_624_PNG$,24/01/2024,1440x3120,196,Android 14,Exynos 2400,512,12,50,10,12,12,FALSE,4900,45,Onyx Black; Marble Grey; Cobalt Violet; Amber Yellow; Jade Green; Sandstone Orange; Sapphire Blue,TRUE,18999000
33,Samsung,Samsung Galaxy S24,https://images.samsung.com/is/image/samsung/p6pim/id/2401/gallery/id-galaxy-s24-sm-s921bzyqxid-539294567?$624_624_PNG$,24/01/2024,1080x2340,167,Android 14,Exynos 2400,512,8,50,10,12,12,FALSE,4000,25,Onyx Black; Marble Grey; Cobalt Violet; Amber Yellow; Jade Green; Sandstone Orange; Sapphire Blue,TRUE,15999000
34,Samsung,Samsung Galaxy Z Fold5,https://images.samsung.com/is/image/samsung/assets/id/smartphones/galaxy-z-fold5/images/galaxy-z-fold5-highlights-sustainability-mo.jpg?imbypass=true,11/8/2023,1812x2176,253,Android 14,Qualcomm SM8550-AC Snapdragon 8 Gen 2,1000,12,50,10,12,4,FALSE,4400,25,Icy Blue; Phantom Black; Cream; Gray; Blue,TRUE,23999000
35,Samsung,Samsung Galaxy Z Flip5,https://images.samsung.com/is/image/samsung/p6pim/id/2307/gallery/id-galaxy-z-flip5-f731-467154-sm-f731bzbexid-537252509?$650_519_PNG$,11/8/2023,1080x2640,187,Android 14,Qualcomm SM8550-AC Snapdragon 8 Gen 2,512,8,12,12,,10,FALSE,3700,25,Mint; Graphite; Cream; Lavender; Gray; Blue; Green; Yellow,TRUE,15999000
36,Samsung,Samsung Galaxy M34,https://images.samsung.com/is/image/samsung/p6pim/id/feature/164651866/id-feature-galaxy-m34-5g-sm-m346-538944025?$FB_TYPE_A_MO_JPG$,15/07/2023,1080x2340,208,Android 14,Exynos 1280,256,8,50,8,2,13,TRUE,6000,25,Midnight Blue; Prism Silver; Waterfall Blue,TRUE,3999000
37,Samsung,Samsung Galaxy M54,https://images.samsung.com/is/image/samsung/p6pim/id/feature/164887486/id-feature-galaxy-m54-5g-sm-m546-538988849?$FB_TYPE_I_JPG$,11/4/2023,1080x2400,199,Android 13,Exynos 1380,256,8,108,8,2,32,FALSE,6000,25,Dark Blue; Silver,TRUE,6499000
38,Samsung,Samsung Galaxy A05s,https://images.samsung.com/is/image/samsung/p6pim/id/sm-a057flghxid/gallery/id-galaxy-a05s-sm-a057-sm-a057flghxid-538374528?$650_519_PNG$,18/10/2023,1080x2400,194,Android 13,Qualcomm SM6225 Snapdragon 680,128,6,50,2,2,13,TRUE,5000,25,Black; Silver; Light Green; Violet,TRUE,2199000
39,Samsung,Samsung Galaxy A55,https://images.samsung.com/is/image/samsung/p6pim/id/sm-a556elbcxid/gallery/id-galaxy-a55-5g-sm-a556-sm-a556elbcxid-540158178?$650_519_PNG$,15/03/2024,1080x2340,213,Android 14,Exynos 1480,256,12,50,12,5,32,FALSE,5000,25,Iceblue; Lilac; Navy; Lemon,TRUE,5999000
40,Samsung,Samsung Galaxy A35,https://images.samsung.com/is/image/samsung/p6pim/id/sm-a356elvgxid/gallery/id-galaxy-a35-5g-sm-a356-sm-a356elvgxid-540157803?$650_519_PNG$,15/03/2024,1080x2340,209,Android 14,Exynos 1380,256,12,50,8,5,13,FALSE,5000,25,Iceblue; Lilac; Navy; Lemon,TRUE,4999000
41,Vivo,Vivo V30e,https://asia-exstatic-vivofs.vivo.com/PSee2l50xoirPK7y/1713926749395/e5acef0b88199404108ba3b79506b22e.png,9/5/2024,1080x2400,188,Funtouch 14,Qualcomm SM6450 Snapdragon 6 Gen 1,256,8,50,8,,32,FALSE,5500,44,Velvet Red (Coco Brown); Silk Blue; Sky Mirror,TRUE,4999000
42,Vivo,Vivo V30,https://asia-exstatic-vivofs.vivo.com/PSee2l50xoirPK7y/1706865176991/9697ebced9b53d72d1139350a9306f1c.png,4/3/2024,1260x2800,186,Funtouch 14,Qualcomm Snapdragon 7 Gen 3,512,12,50,50,,50,FALSE,5000,80,Bloom White; Waving Aqua; Lush Green; Noble Black,TRUE,6999000
43,Vivo,Vivo V30 Pro,https://asia-exstatic-vivofs.vivo.com/PSee2l50xoirPK7y/1707271132633/892e2e1f2faf5aa3d86029d4698e1382.png,7/3/2024,1260x2800,188,Funtouch 14,Mediatek Dimensity 8200,512,12,50,50,50,50,FALSE,5000,80,Bloom White; Waving Aqua; Lush Green; Noble Black,TRUE,8999000
44,Vivo,Vivo Y27s,https://asia-exstatic-vivofs.vivo.com/PSee2l50xoirPK7y/1698925009692/768cdcd9089098da9799218ed94786a0.png,7/11/2023,1080x2388,192,Funtouch 13,Qualcomm SM6225 Snapdragon 680,256,8,50,2,,8,TRUE,5000,44,Burgundy Black; Garden Green,TRUE,2699000
45,Vivo,Vivo Y100,https://asia-exstatic-vivofs.vivo.com/PSee2l50xoirPK7y/1711018967442/053122af61c864d0ede4137aa536b97c.png,3/5/2024,1080x2400,196,Funtouch 14,Qualcomm SM6225 Snapdragon 685,256,8,50,2,,8,FALSE,5000,80,Crystal Black; Breeze Green,TRUE,3699000
46,Vivo,Vivo T3x,https://in-exstatic-vivofs.vivo.com/gdHFRinHEMrj3yPG/1713238642469/1a0c7dfede3c2f8e00f0c0b56e6b4391.png,24/04/2024,1080x2408,199,Funtouch 14,Qualcomm SM6450 Snapdragon 6 Gen 1,128,8,50,2,,8,TRUE,6000,44,Crimson Bliss; Celestial Green,FALSE,3299000
47,Vivo,Vivo Y18,https://in-exstatic-vivofs.vivo.com/gdHFRinHEMrj3yPG/1714126385089/efbb2d09671fdd09116c42f8544d011c.jpg,3/5/2024,720x1612,185,Funtouch 14,Mediatek Helio G85,128,4,50,0.08,,8,TRUE,5000,15,Space Black; Gem Green,FALSE,2999000
48,Vivo,Vivo V29e,https://asia-exstatic-vivofs.vivo.com/PSee2l50xoirPK7y/1698073755493/635c58101d9f0c204b86d6f97582021c.png,23/10/2023,1080x2400,190,Funtouch 13,Qualcomm SM6375 Snapdragon 695,256,8,64,8,,50,FALSE,4800,44,Forest Black; Rose Gold; Ice Creek Blue,TRUE,4399000
49,Vivo,Vivo Y17s,https://asia-exstatic-vivofs.vivo.com/PSee2l50xoirPK7y/1694502476733/04be3969524f456e930fb9dcc03a17ec.png,2/10/2023,720x1612,186,Funtouch 13,Mediatek Helio G85,128,6,50,2,,8,TRUE,5000,15,Glitter Purple; Forest Green,FALSE,1799000
50,Vivo,Vivo V29,https://asia-exstatic-vivofs.vivo.com/PSee2l50xoirPK7y/1691376116375/dd887862502103c15d6fe37bdbbec627.png,4/10/2023,1260x2800,186,Funtouch 13,Qualcomm SM7325 Snapdragon 778G,512,12,50,8,2,50,FALSE,4600,80,Velvet Red; Peak Blue; Noble Black,TRUE,6999000
51,Huawei,Huawei Pura 70 Ultra,https://consumer.huawei.com/content/dam/huawei-cbg-site/common/mkt/pdp/admin-image/phones/pura70-ultra/list-green.png,29/04/2024,1260x2844,226,EMUI 14.2,Kirin 9010,1000,16,50,50,40,13,FALSE,5200,100,Black; White; Brown; Green,TRUE,22399000
52,Huawei,Huawei Pura 70 Pro,https://consumer.huawei.com/content/dam/huawei-cbg-site/common/mkt/pdp/admin-image/phones/pura70-pro/list-white.png,29/04/2024,1260x2844,220,EMUI 14.2,Kirin 9010,1000,12,50,48,12.5,13,FALSE,5050,100,Black; White; Purple,TRUE,16599000
53,Huawei,Huawei Pura 70,https://consumer.huawei.com/content/dam/huawei-cbg-site/common/mkt/pdp/admin-image/phones/pura70/specs-blue.png,6/5/2024,1256x2760,207,EMUI 14.2,Kirin 9010,1000,12,50,12,13,13,FALSE,4900,66,Black; White; Blue; Pink,TRUE,12499000
54,Huawei,Huawei Nova 12s,https://consumer.huawei.com/content/dam/huawei-cbg-site/common/mkt/pdp/admin-image/phones/nova-12s/specs/specs-img.png,13/04/2024,1084x2412,168,EMUI 14,Qualcomm SM7325 Snapdragon 778G,256,8,50,8,,60,FALSE,4500,66,Black; Green; White; Gold,TRUE,8599000
55,Huawei,Huawei Nova 12 SE,https://consumer.huawei.com/content/dam/huawei-cbg-https://consumer.huawei.com/content/dam/huawei-cbg-site/common/mkt/pdp/admin-image/phones/nova12-se/specs/specs.jpg,6/4/2024,1080x2400,186,EMUI 14,Qualcomm Snapdragon 680,256,8,108,8,2,32,FALSE,4500,66,Green; Black,TRUE,6499000
56,Huawei,Huawei P60 Pro,https://selular.id/wp-content/uploads/2023/03/Huawei-P60-Pro-color.jpg,31/03/2023,1220x2700,200,EMUI 13.1,Qualcomm SM8475 Snapdragon 8+ Gen 1,512,12,48,48,13,13,FALSE,4815,88,Black; Green; Violet; Rococo Pearl,TRUE,17599000
57,Huawei,Huawei Mate X3,https://consumer.huawei.com/content/dam/huawei-cbg-site/me-africa/za/mkt/pdp/phones/mate-x3/specs/specs.jpg,8/4/2023,2224x2496,239,EMUI 13.1,Qualcomm SM8475 Snapdragon 8+ Gen 1,512,12,50,12,13,8,FALSE,4800,66,Black; White; Violet; Dark Green; Gold,TRUE,31060000
58,Huawei,Huawei Nova Y72,https://consumer.huawei.com/content/dam/huawei-cbg-site/common/mkt/pdp/admin-image/phones/nova-y72/list/green.png,1/2/2024,720x1600,207,EMUI 12,Kirin 710A,128,8,50,2,,8,FALSE,6000,22.5,Black; Green,TRUE,4100000
59,Huawei,Huawei Nova 11 Pro,https://consumer.huawei.com/content/dam/huawei-cbg-site/common/mkt/pdp/admin-image/phones/nova11-pro/list/green.png,27/04/2023,1200x2652,188,EMUI 13,Qualcomm SM7325 Snapdragon 778G,256,8,50,8,,60,FALSE,4500,100,Black; Green; White; Gold,TRUE,13545000
60,Huawei,Huawei Nova 11,https://consumer.huawei.com/content/dam/huawei-cbg-site/common/mkt/pdp/phones/nova11/resource/images/sec0/huawei-nova-11-f-phone-2.jpg,27/04/2023,1084x2412,168,EMUI 13,Qualcomm SM7325 Snapdragon 778G,256,8,50,8,,60,FALSE,4500,66,Black; Green; White; Gold,TRUE,5799000
61,Apple,iPhone 12,https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-12.jpg,18/12/2020,1170x2532,164,iOS 14.1,Apple A14 Bionic,256,4,12,12,,12,FALSE,2815,20,Black; White; Red; Green; Blue; Purple,TRUE,8749000
62,Apple,iPhone 13,https://www.apple.com/v/iphone/home/bu/images/overview/select/iphone_13__gnwdyqfq7i2y_large_2x.png,19/11/2021,1170x2532,174,iOS 15,Apple A15 Bionic,512,4,12,12,,12,FALSE,3240,20,Starlight; Midnight; Blue; Pink; Red; Green,TRUE,10249000
63,Apple,iPhone SE (3rd gen),https://www.apple.com/v/iphone/home/bu/images/overview/select/iphone_se__gmvp19w01mum_large_2x.png,17/06/2022,750x1334,144,iOS 15.4,Apple A15 Bionic,256,4,12,,,7,FALSE,2018,20,Midnight; Starlight; Red,TRUE,7999000
64,Apple,iPhone 14,https://www.apple.com/v/iphone/home/bu/images/overview/select/iphone_14__cjgvgyn9cquu_large_2x.png,28/10/2022,1170x2532,172,iOS 16,Apple A15 Bionic,512,6,12,12,,12,FALSE,3279,20,Midnight; Purple; Starlight; Blue; Red; Yellow,TRUE,1224900
65,Apple,iPhone 14 Plus,https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-14-plus.jpg,28/10/2022,1284x2778,203,iOS 16,Apple A15 Bionic,512,6,12,12,,12,FALSE,4323,20,Midnight; Purple; Starlight; Blue; Red; Yellow,TRUE,13999000
66,Apple,iPhone 14 Pro,https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-14-pro.jpg,28/10/2022,1179x2556,206,iOS 16,Apple A16 Bionic,1024,6,48,12,12,12,FALSE,3200,20,Space Black; Silver; Gold; Deep Purple,TRUE,16999000
67,Apple,iPhone 14 Pro Max,https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-14-pro-max-.jpg,27/10/2022,1290x2796,240,iOS 16,Apple A16 Bionic,1024,6,48,12,12,12,FALSE,4323,20,Space Black; Silver; Gold; Deep Purple,TRUE,17999000
68,Apple,iPhone 15,https://www.apple.com/v/iphone-15/c/images/overview/contrast/iphone_15__dozjxuchowcy_large_2x.jpg,27/10/2022,1179x2556,171,iOS 17,Apple A16 Bionic,512,6,48,12,,12,FALSE,3349,20,Black; Blue; Green; Yellow; Pink,TRUE,14249000
69,Apple,iPhone 15 Plus,https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-15-plus-.jpg,27/10/2022,1290x2796,201,iOS 17,Apple A16 Bionic,512,6,48,12,,12,FALSE,4383,20,Black; Blue; Green; Yellow; Pink,TRUE,16249000
70,Apple,iPhone 15 Pro,https://www.apple.com/v/iphone-15/c/images/overview/contrast/iphone_15pro__ezc4eofw13yq_large_2x.jpg,27/10/2022,1179x2556,187,iOS 17,Apple A17 Pro,1024,8,48,12,12,12,FALSE,3274,20,Black Titanium; White Titanium; Blue Titanium; Natural Titanium,TRUE,18999000
71,Apple,iPhone 15 Pro Max,https://www.apple.com/v/iphone-15-pro/c/images/specs/hero_iphone_pro_max__bsan8nevcgty_large_2x.jpg,27/10/2022,1290x2796,221,iOS 17,Apple A17 Pro,1024,8,48,12,12,12,FALSE,4441,20,Black Titanium; White Titanium; Blue Titanium; Natural Titanium,TRUE,22999000
72,Realme,Realme C65,https://image01.realme.net/general/20240425/1714015020323733c7d7431dc4bbba20070cd9de3561f.png?width=1440&height=1440&size=2029093.webp,2/5/2024,720x1604,185,Android 14,Mediatek Helio G85,256,8,50,2,,8,TRUE,5000,45,Purple Nebula; Black Milky Way,TRUE,2399000
73,Realme,Realme C55,https://image01.realme.net/general/20230301/1677668775184.png?width=1080&height=1080&size=1133307.webp,8/3/2023,1080x2400,189.5,Android 13,Mediatek Helio G88,256,8,64,2,,8,TRUE,5000,33,Sun Shower; Rainy Night; Rainforest,TRUE,2299000
74,Realme,Realme C51,https://image01.realme.net/general/20230816/169218179536327dbaed0a9354f9c878018f3cd1d29c0.jpg?width=1080&height=1080&size=122416.webp,23/08/2023,720x1600,186,Android 13,Unisoc Tiger T612,256,6,50,0.08,,5,TRUE,5000,33,Mint Green; Carbon Black,TRUE,1399000
75,Realme,Realme C51s,https://image01.realme.net/general/20240314/171038085243798d74d2e84ee42e8bd3c2ec41b34bb3f.png?width=1440&height=1440&size=1666045.webp,15/03/2024,720x1600,182,Android 13,Unisoc Tiger T612,128,6,50,0.08,,5,TRUE,5000,33,Shiny Green; Mighty Black,FALSE,1799000
76,Realme,Realme Note 50,https://image01.realme.net/general/20240216/170807057749205f37626099543f88aff4a46f54d071c.png?width=1440&height=1440&size=693062.webp,22/02/2024,720x1600,186,Android 13,Unisoc Tiger T612,128,4,13,0.08,,5,TRUE,5000,10,Sky Blue; Midnight Black,FALSE,1249000
77,Realme,Realme C53,https://image01.realme.net/general/20230612/1686561163847b8c899c7f08f43b89f2ef7370df8c37a.jpg?width=1080&height=1080&size=218974.webp,15/06/2023,1080x2400,182,Android 13,Unisoc Tiger T612,256,8,50,0.3,,8,TRUE,5000,33,Champion Gold; Mighty Black,FALSE,1999000
78,Realme,Realme C67,https://image01.realme.net/general/20231211/170227614401978d365d515614911bab365907c5b160d.jpg?width=1080&height=1080&size=179218.webp,5/1/2024,1080x2400,185,Android 14,Qualcomm SM6225 Snapdragon 685,256,8,108,2,,8,TRUE,5000,33,Sunny Oasis; Black Rock,TRUE,2399000
79,Realme,Realme 12 Pro+ 5G,https://image01.realme.net/general/20240219/1708314744130adcebea3363847ac9518618dbf6350b2.png?width=1440&height=1440&size=558178.webp,29/02/2024,1080x2412,196,Android 14,Mediatek Snapdragon 7s Gen 2,512,12,50,64,8,32,FALSE,5000,67,Submarine Blue; Navigator Beige; Explorer Red,TRUE,5999000
80,Realme,Realme 12+ 5G,https://image01.realme.net/general/20240220/1708405789595e5bcc11490fd4b94801d3d75ff5e2aa2.png?width=1440&height=1440&size=2216667.webp,29/02/2024,1080x2400,190,Android 14,Mediatek Dimensity 7050,512,12,50,8,2,16,TRUE,5000,67,Pioneer Green; Navigator Beige,TRUE,4199000
81,Realme,Realme 12 5G,https://image01.realme.net/general/20240314/1710379790408bd838a6159ed4c1d91b1beb98669067d.png?width=1440&height=1440&size=1652299.webp,29/02/2024,1080x2400,188,Android 14,Mediatek Dimensity 6100+,256,8,108,2,,8,TRUE,5000,45,Twilight Purple; Woodland Green,TRUE,3699000
82,Realme,Realme 11 Pro+ 5G,https://image01.realme.net/general/20230713/1689232710729676c29378d194873bae35e2a329a109a.png?width=1440&height=1440&size=748824.webp,18/07/2023,1080x2412,183,Android 13,Mediatek Dimensity 7050,1024,12,200,8,2,32,FALSE,5000,100,Astral Black; Sunrise Beige; Oasis Green,TRUE,6599000
83,Xiaomi,Xiaomi 14,https://i02.appmifile.com/510_item_id/18/03/2024/3937510c2828c989728a658041a7620c.png?thumb=1&w=1000&f=webp&q=85,26/03/2024,1200x2670,188,Android 14,Qualcomm SM8650-AC Snapdragon 8 Gen 3,256,12,50,50,50,32,FALSE,4610,90,Black; White; Jade Green; Pink,TRUE,11999000
84,Xiaomi,Xiaomi 13T,https://i02.appmifile.com/38_item_id/21/09/2023/1c06b225eb609fb8dfa9f277c296d4d7!600x600!85.png,6/10/2023,1220x2712,193,Android 13,Mediatek Dimensity 8200 Ultra,256,12,50,50,12,20,FALSE,5000,67,Alpine Blue; Meadow Green; Black,TRUE,6499000
85,Xiaomi,Redmi Note 13 Pro+,https://i02.appmifile.com/557_item_id/19/02/2024/ec5ae0f408254bcedffa71ece3b809c8.png?thumb=1&w=1000&f=webp&q=85,28/02/2024,1220x2712,199,Android 13,Mediatek Dimensity 7200 Ultra,512,16,200,8,2,16,FALSE,5000,120,Midnight Black (Fushion Black); Moonlight White (Fushion White); Aurora Purple; Fushion Purple; Camo Green,TRUE,5999000
